"identifier","date","borough","block","lot","bldg_number_start","bldg_number_end","side_of_street","street_name","address","condition","coordinates","is_outtake","deleted"
nynyma_rec0040_4_10871_0020_w4.jpg,"1939-1941",Queens,10871,20.00,"10028","10028",true,"205 Street","10028 205 Street",,,false,true
nynyma_rec0040_4_10871_0054_w4.jpg,"1939-1941",Queens,10871,54.00,"10027","10027",false,"204 Street","10027 204 Street",,,false,true
nynyma_rec0040_4_10871_0037_w4.jpg,"1939-1941",Queens,10871,37.00,"20411","20411",false,"104 Avenue","20411 104 Avenue",,,false,true
nynyma_rec0040_4_10873_0036_w4.jpg,"1939-1941",Queens,10873,36.00,"20527","20527",false,"205 Place","20527 205 Place",,,false,true
nynyma_rec0040_4_10872_0003_w4.jpg,"1939-1941",Queens,10872,3.00,"10005","10005",false,"205 Street","10005 205 Street",,,false,true
nynyma_rec0040_4_10876_0019_w4.jpg,"1939-1941",Queens,10876,19.00,"10004","10004",true,Bellaire Place,"10004 Bellaire Place",,,false,true
nynyma_rec0040_4_10876_0029_w4.jpg,"1939-1941",Queens,10876,29.00,"10022","10022",true,Bellaire Place,"10022 Bellaire Place",,,false,true
nynyma_rec0040_4_10878_0028_w4.jpg,"1939-1941",Queens,10878,28.00,"10045","10045",false,"210 Street","10045 210 Street",,,false,true
nynyma_rec0040_4_10878_0031_w4.jpg,"1939-1941",Queens,10878,31.00,"10035","10035",false,"210 Street","10035 210 Street",,,false,true
nynyma_rec0040_4_10880_0011_w4.jpg,"1939-1941",Queens,10880,11.00,"9965","9965",false,"211 Place","9965 211 Place",,,false,true
nynyma_rec0040_4_10880_0042_w4.jpg,"1939-1941",Queens,10880,42.00,"211","30",false,"99 Avenue","211-30 99 Avenue",,,false,true
nynyma_rec0040_4_10876_0071_w4.jpg,"1939-1941",Queens,10876,71.00,"10015","10015",false,"208 Street","10015 208 Street",,,false,true
nynyma_rec0040_4_10877_0085_w4.jpg,"1939-1941",Queens,10877,85.00,"10036","10036",true,"210 Street","10036 210 Street",,,false,true
nynyma_rec0040_4_10893_0013_w4.jpg,"1939-1941",Queens,10893,13.00,"10416","10416",true,"198 Street","10416 198 Street",,,false,true
nynyma_rec0040_4_10879_0005_w4.jpg,"1939-1941",Queens,10879,5.00,"21110","21110",true,"99 Avenue","21110 99 Avenue",,,false,true
nynyma_rec0040_4_10879_0080_w4.jpg,"1939-1941",Queens,10879,80.00,"9929","9929",false,"211 Street","9929 211 Street",,,false,true
nynyma_rec0040_4_10879_0086_w4.jpg,"1939-1941",Queens,10879,86.00,"9917","9917",false,"211 Street","9917 211 Street",,,false,true
nynyma_rec0040_4_10881_0037_w4.jpg,"1939-1941",Queens,10881,37.00,"10416","10416",true,"191 Street","10416 191 Street",,,false,true
nynyma_rec0040_4_10883_0026_w4.jpg,"1939-1941",Queens,10883,26.00,"19210","19210",true,"104 Avenue","19210 104 Avenue",,,false,true
nynyma_rec0040_4_10881_0043_w4.jpg,"1939-1941",Queens,10881,43.00,"10428","10428",true,"191 Street","10428 191 Street",,,false,true
nynyma_rec0040_4_10885_0013_w4.jpg,"1939-1941",Queens,10885,13.00,"10531","10531",false,"191 Street","10531 191 Street",,,false,true
nynyma_rec0040_4_10891_0008_w4.jpg,"1939-1941",Queens,10891,8.00,"10404","10404",true,"196 Street","10404 196 Street",,,false,true
nynyma_rec0040_4_10893_0035_w4.jpg,"1939-1941",Queens,10893,35.00,"19715","19715",false,Hollis Avenue,"19715 Hollis Avenue",,,false,true
nynyma_rec0040_4_10893_0055_w4.jpg,"1939-1941",Queens,10893,55.00,"10437","10437",false,"197 Street","10437 197 Street",,,false,true
nynyma_rec0040_4_10894_0029_w4.jpg,"1939-1941",Queens,10894,29.00,"10446","10446",true,"199 Street","10446 199 Street",,,false,true
nynyma_rec0040_4_10899_0027_w4.jpg,"1939-1941",Queens,10899,27.00,"10912","10912",true,"200 Street","10912 200 Street",,,false,true
nynyma_rec0040_4_10869_0060_w4.jpg,"1939-1941",Queens,10869,60.00,"10017","10017",false,"202 Street","10017 202 Street",,,false,true
nynyma_rec0040_4_10887_0045_w4.jpg,"1939-1941",Queens,10887,45.00,"19320","19320",true,Hollis Avenue,"19320 Hollis Avenue",,,false,true
nynyma_rec0040_4_10891_0004_w4.jpg,"1939-1941",Queens,10891,4.00,"19510","19510",true,"104 Avenue","19510 104 Avenue",,,false,true
