"identifier","date","borough","block","lot","bldg_number_start","bldg_number_end","side_of_street","street_name","address","condition","coordinates","is_outtake"
nynyma_rec0040_3_07315_0027�,"1939-1941",Brooklyn,7315,27.00,"2046","2046",true,East 12 Street,"2046 East 12 Street",,,false
nynyma_rec0040_3_07328_0066�,"1939-1941",Brooklyn,7328,66.00,"2041","2041",false,Delamere Place,"2041 Delamere Place",,,false
nynyma_rec0040_3_07356_0056�,"1939-1941",Brooklyn,7356,56.00,,,,Ocean Avenue,Ocean Avenue,,,false
nynyma_rec0040_3_07353_0056�,"1939-1941",Brooklyn,7353,56.00,,,,Ocean Avenue,Ocean Avenue,,,false
nynyma_rec0040_3_07368_0016�,"1939-1941",Brooklyn,7368,16.00,,,,Bragg Street,Bragg Street,,,false
nynyma_rec0040_3_00737_0018�,"1939-1941",Brooklyn,737,18.00,"328","328",true,"44 Street","328 44 Street",,,false
nynyma_rec0040_3_07396_0028�,"1939-1941",Brooklyn,7396,28.00,,,,,,,,false
nynyma_rec0040_3_07402_0045�,"1939-1941",Brooklyn,7402,45.00,,,,East 17 Street,East 17 Street,,,false
nynyma_rec0040_3_07416_1762�,"1939-1941",Brooklyn,7416,1762.00,,,,,,,,false
nynyma_rec0040_3_07416_1764�,"1939-1941",Brooklyn,7416,1764.00,,,,,,,,false
nynyma_rec0040_3_07416_1766�,"1939-1941",Brooklyn,7416,1766.00,,,,,,,,false
nynyma_rec0040_3_07416_1768�,"1939-1941",Brooklyn,7416,1768.00,,,,,,,,false
nynyma_rec0040_3_07416_1770�,"1939-1941",Brooklyn,7416,1770.00,,,,,,,,false
nynyma_rec0040_3_07416_1772�,"1939-1941",Brooklyn,7416,1772.00,,,,,,,,false
nynyma_rec0040_3_07416_1774�,"1939-1941",Brooklyn,7416,1774.00,,,,,,,,false
nynyma_rec0040_3_07416_1776�,"1939-1941",Brooklyn,7416,1776.00,,,,,,,,false
nynyma_rec0040_3_07416_1778�,"1939-1941",Brooklyn,7416,1778.00,,,,,,,,false
nynyma_rec0040_3_07416_1786�,"1939-1941",Brooklyn,7416,1786.00,,,,,,,,false
nynyma_rec0040_3_07416_1789�,"1939-1941",Brooklyn,7416,1789.00,,,,,,,,false
nynyma_rec0040_3_07419_0037�,"1939-1941",Brooklyn,7419,37.00,,,,East 18 Street,East 18 Street,,,false
nynyma_rec0040_3_07422_0011�,"1939-1941",Brooklyn,7422,11.00,,,,Avenue X,Avenue X,,,false
nynyma_rec0040_3_07455_0092�,"1939-1941",Brooklyn,7455,92.00,"2690","2690",true,East 12 Street,"2690 East 12 Street",,,false
nynyma_rec0040_3_07457_1794�,"1939-1941",Brooklyn,7457,1794.00,,,,,,,,false
nynyma_rec0040_3_07457_1796�,"1939-1941",Brooklyn,7457,1796.00,,,,,,,,false
nynyma_rec0040_3_07457_1806�,"1939-1941",Brooklyn,7457,1806.00,,,,,,,,false
nynyma_rec0040_3_07457_0015�,"1939-1941",Brooklyn,7457,15.00,,,,East 13 Street,East 13 Street,,,false
nynyma_rec0040_3_07457_1790�,"1939-1941",Brooklyn,7457,1790.00,,,,,,,,false
nynyma_rec0040_3_07457_1792�,"1939-1941",Brooklyn,7457,1792.00,,,,,,,,false
nynyma_rec0040_3_07461_0027�,"1939-1941",Brooklyn,7461,27.00,"1618","1618",true,Sheepshead Bay Road,"1618 Sheepshead Bay Road",,,false
nynyma_rec0040_3_07470_0066�,"1939-1941",Brooklyn,7470,66.00,"4651","4651",false,Bedford Avenue,"4651 Bedford Avenue",,,false
nynyma_rec0040_3_07486_0040�,"1939-1941",Brooklyn,7486,40.00,,,,East 13 Street,East 13 Street,,,false
nynyma_rec0040_3_07492_0162�,"1939-1941",Brooklyn,7492,162.00,,,,Voorhiles Avenue,Voorhiles Avenue,,,false
nynyma_rec0040_3_07496_0171�,"1939-1941",Brooklyn,7496,171.00,,,,,,,,false
nynyma_rec0040_3_07498_0095�,"1939-1941",Brooklyn,7498,95.00,,,,,,,,false
nynyma_rec0040_3_07516_1188�,"1939-1941",Brooklyn,7516,1188.00,"79","79",false,Dover Street,"79 Dover Street",,,false
nynyma_rec0040_3_07516_1916�,"1939-1941",Brooklyn,7516,1916.00,"273","273",false,Exeter Street,"273 Exeter Street",,,false
nynyma_rec0040_3_07516_1918�,"1939-1941",Brooklyn,7516,1918.00,"271","271",false,Exeter Street,"271 Exeter Street",,,false
nynyma_rec0040_3_07516_1920�,"1939-1941",Brooklyn,7516,1920.00,"267","267",false,Exeter Street,"267 Exeter Street",,,false
nynyma_rec0040_3_07516_2045�,"1939-1941",Brooklyn,7516,2045.00,,,,,,,,false
nynyma_rec0040_3_07516_2303�,"1939-1941",Brooklyn,7516,2303.00,"9","9",false,Bell Court,"9 Bell Court",,,false
nynyma_rec0040_3_07516_2305�,"1939-1941",Brooklyn,7516,2305.00,"7","7",false,Bell Court,"7 Bell Court",,,false
nynyma_rec0040_3_07516_2307�,"1939-1941",Brooklyn,7516,2307.00,"5","5",false,Bell Court,"5 Bell Court",,,false
nynyma_rec0040_3_07516_2310�,"1939-1941",Brooklyn,7516,2310.00,"1","1",false,Bell Court,"1 Bell Court",,,false
nynyma_rec0040_3_07516_2312�,"1939-1941",Brooklyn,7516,2312.00,,,,Bell Court,Bell Court,,,false
nynyma_rec0040_3_07516_0212�,"1939-1941",Brooklyn,7516,212.00,,,,,,,,false
nynyma_rec0040_3_07516_2309�,"1939-1941",Brooklyn,7516,2309.00,"3","3",false,Bell Court,"3 Bell Court",,,false
nynyma_rec0040_3_07516_2322�,"1939-1941",Brooklyn,7516,2322.00,"12","12",true,Bell Court,"12 Bell Court",,,false
nynyma_rec0040_3_07516_2328�,"1939-1941",Brooklyn,7516,2328.00,"15","15",false,Ocean View Avenue,"15 Ocean View Avenue",,,false
nynyma_rec0040_3_07516_2331�,"1939-1941",Brooklyn,7516,2331.00,,,,Ocean View Avenue,Ocean View Avenue,,,false
nynyma_rec0040_3_07516_2333�,"1939-1941",Brooklyn,7516,2333.00,"1019","1019",false,Ocean View Avenue,"1019 Ocean View Avenue",,,false
nynyma_rec0040_3_07516_2335�,"1939-1941",Brooklyn,7516,2335.00,"7","7",false,Ocean View Avenue,"7 Ocean View Avenue",,,false
nynyma_rec0040_3_07516_2337�,"1939-1941",Brooklyn,7516,2337.00,"5","5",false,Ocean View Avenue,"5 Ocean View Avenue",,,false
nynyma_rec0040_3_07516_2339�,"1939-1941",Brooklyn,7516,2339.00,"3","3",false,Ocean View Avenue,"3 Ocean View Avenue",,,false
nynyma_rec0040_3_07516_2340�,"1939-1941",Brooklyn,7516,2340.00,,,,Coney Island Avenue,Coney Island Avenue,,,false
nynyma_rec0040_3_07516_2343�,"1939-1941",Brooklyn,7516,2343.00,"3137","3137",false,Coney Island Avenue,"3137 Coney Island Avenue",,,false
nynyma_rec0040_3_07516_2344�,"1939-1941",Brooklyn,7516,2344.00,"3135","3135",false,Coney Island Avenue,"3135 Coney Island Avenue",,,false
nynyma_rec0040_3_07516_2345�,"1939-1941",Brooklyn,7516,2345.00,,,,Coney Island Avenue,Coney Island Avenue,,,false
nynyma_rec0040_3_07516_2346�,"1939-1941",Brooklyn,7516,2346.00,"3131","3131",false,Coney Island Avenue,"3131 Coney Island Avenue",,,false
nynyma_rec0040_3_07516_2314�,"1939-1941",Brooklyn,7516,2314.00,"4","4",true,Bell Court,"4 Bell Court",,,false
nynyma_rec0040_3_07516_2316�,"1939-1941",Brooklyn,7516,2316.00,"6","6",true,Bell Court,"6 Bell Court",,,false
nynyma_rec0040_3_07516_2318�,"1939-1941",Brooklyn,7516,2318.00,"8","8",true,Bell Court,"8 Bell Court",,,false
nynyma_rec0040_3_07516_2324�,"1939-1941",Brooklyn,7516,2324.00,"14","14",true,Bell Court,"14 Bell Court",,,false
nynyma_rec0040_3_07516_2326�,"1939-1941",Brooklyn,7516,2326.00,"16","16",true,Bell Court,"16 Bell Court",,,false
nynyma_rec0040_3_07516_2342�,"1939-1941",Brooklyn,7516,2342.00,"3139","3139",false,Coney Island Avenue,"3139 Coney Island Avenue",,,false
nynyma_rec0040_3_07516_2347�,"1939-1941",Brooklyn,7516,2347.00,"3129","3129",false,Coney Island Avenue,"3129 Coney Island Avenue",,,false
nynyma_rec0040_3_07516_2348�,"1939-1941",Brooklyn,7516,2348.00,"3127","3127",false,Coney Island Avenue,"3127 Coney Island Avenue",,,false
nynyma_rec0040_3_07516_2350�,"1939-1941",Brooklyn,7516,2350.00,"3119","3119",false,Coney Island Avenue,"3119 Coney Island Avenue",,,false
nynyma_rec0040_3_07516_2351�,"1939-1941",Brooklyn,7516,2351.00,"3118","3118",true,Coney Island Avenue,"3118 Coney Island Avenue",,,false
nynyma_rec0040_3_07516_2352�,"1939-1941",Brooklyn,7516,2352.00,"3120","3120",true,Coney Island Avenue,"3120 Coney Island Avenue",,,false
nynyma_rec0040_3_07516_2353�,"1939-1941",Brooklyn,7516,2353.00,"6","6",true,Ocean View Avenue,"6 Ocean View Avenue",,,false
nynyma_rec0040_3_07516_2355�,"1939-1941",Brooklyn,7516,2355.00,"1018","1018",true,Ocean View Avenue,"1018 Ocean View Avenue",,,false
nynyma_rec0040_3_07516_2357�,"1939-1941",Brooklyn,7516,2357.00,"2","2",true,Ocean View Avenue,"2 Ocean View Avenue",,,false
nynyma_rec0040_3_07516_2359�,"1939-1941",Brooklyn,7516,2359.00,"154","154",true,Arnold Court,"154 Arnold Court",,,false
nynyma_rec0040_3_07516_2361�,"1939-1941",Brooklyn,7516,2361.00,"152","152",true,Arnold Court,"152 Arnold Court",,,false
nynyma_rec0040_3_07516_2363�,"1939-1941",Brooklyn,7516,2363.00,"150","150",true,Arnold Court,"150 Arnold Court",,,false
nynyma_rec0040_3_07516_2375�,"1939-1941",Brooklyn,7516,2375.00,,,,,,,,false
nynyma_rec0040_3_07516_2391�,"1939-1941",Brooklyn,7516,2391.00,,,,,,,,false
nynyma_rec0040_3_07516_2400�,"1939-1941",Brooklyn,7516,2400.00,"46","46",true,Hoff Street,"46 Hoff Street",,,false
nynyma_rec0040_3_07516_2401�,"1939-1941",Brooklyn,7516,2401.00,"48","48",true,Hoff Street,"48 Hoff Street",,,false
nynyma_rec0040_3_07516_2402�,"1939-1941",Brooklyn,7516,2402.00,"50","50",true,Hoff Street,"50 Hoff Street",,,false
nynyma_rec0040_3_07516_2403�,"1939-1941",Brooklyn,7516,2403.00,"52","52",true,Hoff Street,"52 Hoff Street",,,false
nynyma_rec0040_3_07516_2404�,"1939-1941",Brooklyn,7516,2404.00,"54","54",true,Hoff Street,"54 Hoff Street",,,false
nynyma_rec0040_3_07516_2405�,"1939-1941",Brooklyn,7516,2405.00,"58","58",true,Hoff Street,"58 Hoff Street",,,false
nynyma_rec0040_3_07516_2406�,"1939-1941",Brooklyn,7516,2406.00,"60","60",true,Hoff Street,"60 Hoff Street",,,false
nynyma_rec0040_3_07516_2407�,"1939-1941",Brooklyn,7516,2407.00,"62","62",true,Hoff Street,"62 Hoff Street",,,false
nynyma_rec0040_3_07516_2408�,"1939-1941",Brooklyn,7516,2408.00,"64","64",true,Hoff Street,"64 Hoff Street",,,false
nynyma_rec0040_3_07516_2409�,"1939-1941",Brooklyn,7516,2409.00,"66","66",true,Hoff Street,"66 Hoff Street",,,false
nynyma_rec0040_3_07516_2410�,"1939-1941",Brooklyn,7516,2410.00,"68","68",true,Hoff Street,"68 Hoff Street",,,false
nynyma_rec0040_3_07516_2411�,"1939-1941",Brooklyn,7516,2411.00,"70","70",true,Hoff Street,"70 Hoff Street",,,false
nynyma_rec0040_3_07516_2412�,"1939-1941",Brooklyn,7516,2412.00,"72","72",true,Hoff Street,"72 Hoff Street",,,false
nynyma_rec0040_3_07516_2413�,"1939-1941",Brooklyn,7516,2413.00,"74","74",true,Hoff Street,"74 Hoff Street",,,false
nynyma_rec0040_3_07516_2414�,"1939-1941",Brooklyn,7516,2414.00,"76","76",true,Hoff Street,"76 Hoff Street",,,false
